problem,solution,answer,problem_type
"同板蓝根具有相同来源的药材是 。

A.大青叶
B.番泻叶
C.侧柏叶
D.蓼大青叶
E.紫苏叶",$A$,A,single_choice
"既敛肺降火，又敛汗止血的药是

A.石榴皮
B.五倍子
C.金樱子
D.五味子
E.浮小麦",$B$,B,single_choice
"儿童清肺丸的功能不包括

A.清肺
B.解表
C.化痰
D.止嗽
E.消积",$E$,E,single_choice
"左金丸的君药是

A.黄连
B.黄柏
C.黄芩
D.吴茱萸
E.柴胡",$A$,A,single_choice
"板蓝根颗粒可以治疗

A.肠胃积热
B.阴虚火旺
C.腮腺炎
D.急性扁桃体炎
E.肺胃热盛",$C$,C,single_choice
"明目蒺藜丸的功能是

A.清热泻火，消肿止痛
B.清热泻火，明目止痛
C.清热散风，明目退翳
D.清热泻火，明目退翳
E.清热散风，化瘀明目",$C$,C,single_choice
"接骨七厘片主治病证包括

A.跌打损伤
B.闪腰岔气
C.瘀血肿痛
D.溃疡病出血
E.骨折筋伤",$A$,A,single_choice
"不适于制成混悬液的药物是 。

A.难溶性药物
B.毒性药物
C.不稳定的药物
D.易成盐的药物
E.治疗剂量大的药物",$B$,B,single_choice
"患儿，2岁。平素喜进肉食，5天前因过食虾仁而出现腹胀嗳气，食欲减退，口臭，大便3日未行，舌质红，苔黄厚腻。其治法是

A.消乳化食，和中导滞
B.健脾化积，和中导滞
C.清热和胃，和中导滞
D.运脾开胃，和中导滞
E.理气和中，和中导滞",$A$,A,single_choice
"中医应辨证为

A.肝气郁结证
B.痰气郁结证
C.心神失养证
D.心脾两虚证
E.心火亢盛证",$C$,C,single_choice
"药物细粉以适宜液体为润湿剂或黏合剂泛制而成的圆球形制剂为 。

A.塑制丸
B.滴制丸
C.糊丸
D.泛制丸
E.蜜丸",$D$,D,single_choice
"下列关于六味地黄丸中所用的山茱萸说法错误的是 。

A.选用的应该是酒山茱萸
B.选用的应该是清蒸山茱萸
C.具有补益肝肾、涩精固脱的功能
D.炮制后可降低酸性
E.主要含山茱萸苷、皂苷、鞣质等",$B$,B,single_choice
"山楂炒焦可增强 。

A.消食止泻的作用
B.消积化食的作用
C.活血化瘀的作用
D.止血作用
E.酸涩收敛作用",$A$,A,single_choice
"滋阴补血，益精填髓宜用 。

A.鲜地黄
B.生地黄
C.熟地黄
D.生地炭
E.熟地炭",$C$,C,single_choice
"患儿，4岁。素喜煎炸食物，近两月来不思进食，食少饮多，皮肤失润，大便干结，舌红少津，苔花剥。
治疗应首选

A.增液汤
B.养胃增液汤
C.沙参麦冬汤
D.养阴清肺汤
	4

E.增液承气汤",$B$,B,single_choice
"物理化学靶向制剂不包括 。

A.磁性制剂
B.栓塞靶向制剂
C.冷敏靶向制剂
D.热敏靶向制剂
E.pH敏感靶向制剂",$C$,C,single_choice
"不寐的治疗原则为

A.先治其标，后治其本
B.补虚扶正，充髓养脑
C.益气养血，补益肝肾
D.清热化痰，安神定志
E.补虚泻实，调整阴阳",$E$,E,single_choice
"《中国药典》规定牛膝含量测定的指标成分与含量要求分别是 。

A.α-蜕皮甾酮，含量不得少于0030%
B.α-蜕皮甾酮，含量不得少于080%
C.β-蜕皮甾酮，含量不得少于0030%
D.β-蜕皮甾酮，含量不得少于080%
E.牛膝甾酮，含量不得少于70%",$C$,C,single_choice
"治疗心悸阴虚火旺证，应首选

A.天王补心丹
B.安神定志丸
C.桂枝甘草龙骨牡蛎汤
D.归脾汤
E.朱砂安神丸",$A$,A,single_choice
"能涩肠止泻，温中行气的是

A.麻黄根
B.肉豆蔻
C.五味子
D.芡实
E.罂粟壳",$B$,B,single_choice
"以下药物除可以用于治疗热毒瘀滞肌肤所致疮疡肿痛、丹毒流注，还可以治疗跌打损伤的是

A.生肌玉红膏
B.紫草膏
C.连翘败毒丸
D.拔毒生肌散
E.如意金黄散",$E$,E,single_choice
"用于治疗脾肾阳虚、痰瘀互结所致的阴疽的药物是

A.牛黄醒消丸
B.内消瘰疬丸
C.阳和解凝膏
D.小金丸
E.乳癖消胶囊",$C$,C,single_choice
"以下关于宫血宁胶囊的说法正确的是

A.只有重楼一味药物
B.主治是血热所致的崩漏下血、月经过多者
C.慢性盆腔炎属湿热郁结者慎用
D.服药期间忌辛辣食物
E.孕妇忌服",$A$,A,single_choice
"金匮肾气丸治疗肾虚作喘时，若久病不愈，兼有咽干烦躁者，常配以

A.参苓白术散
B.柴胡疏肝散
C.沙参麦冬汤
	8

D.附子理中丸
E.麦味地黄丸",$E$,E,single_choice
