Question,answer,A,B,C,D,E
中医学的基本特点是,D,整体观念和阴阳五行,四诊八纲和辨证论治,同病异治和异病同治,整体观念和辨证论治,
下列不宜用阴阳的基本概念来概括的是,D,寒与热,上与下,动与静,邪与正,
六腑生理功能的特点是,A,"传化物而不藏, 实而不能满","藏精气而不泻, 实而不能满","传化物而不藏,满而不能实","藏精气而不泻, 满而不能实",
具有运化水液功能的脏腑是,A,脾,三焦,肝,肾,
主统血的是,C,心,肝,脾,肺,
“血府”指,D,脑,髓,骨,脉,
朝百脉的是,D,心,肝,脾,肺,
“精血同源”指的是,D,心肺关系,肺肝关系,肝脾关系,肝肾关系,
既属六腑，又属奇恒之腑，又称之为“中精之腑”的是,B,肝,胆,脑,髓,
下列哪种说法是错误的,B,心在窍为舌,肺在窍为喉,脾在窍为口,肝在窍为目,
以自然界清气与水谷精气为主要组成部分的气称为,B,元气,宗气,营气,卫气,
卫气是,D,藏于肾中之气,积于胸中之气,吸入肺中之气,行于脉外之气,
哪种情志异常易使肝的疏泄功能失调,C,过喜,过思,过怒,过恐,
食复是指,A,"疾病初愈, 因饮食因素而致复发",过食寒凉而发病,过食辛辣而发病,过食肥甘厚味而发病,
根据七情分属五脏的理论，下列情志中属心所主的是,A,喜,怒,悲,惊,
干咳无痰，咳声清脆多属于,B,风寒犯肺证,燥邪犯肺证,痰热壅肺证,风热犯肺证,
病人感觉怕冷，加衣被或近火取暖仍觉寒冷不解者为,B,畏寒,恶寒,恶风,寒栗,
反映药物作用趋向的性能是,C,四气,五味,升降浮沉,归经,
对咽喉有刺激性的药物应,B,先煎,后下,包煎,另煎,
具相须配伍关系的药对是,A,大黄与芒硝,巴豆与牵牛子,半夏与川乌,瓜蒌与川乌,
某药主要用于益智，其相应的归经是,A,心,肝,肺,肾,
清热泻火药主要用于,D,里热实证,血分实热证,虚热证,气分实热证,
治肺痈，咳吐脓血，首选,C,黄芩,知母,鱼腥草,地骨皮,
长于清除下焦湿热的药物是,C,黄连,黄芩,黄柏,连翘,
金银花不具有的功效是,C,疏风热,解暑热,清虚热,解热毒,
既能疏肝理气，又能调经止痛的药物是,D,青皮,香橼,佛手,香附,
以下何药最常用治烧烫伤的治疗,D,番泻叶,芒硝,火麻仁,大黄,
芒硝的用法是,D,先煎,后下,包煎,冲服,
有关方剂组成原则中君药的含义，下列哪一项是错误的,B,治疗主病,治疗兼病兼证,在方剂中起主要治疗作用,任何方剂中必不可少,
桑菊饮与银翘散均为辛凉解表剂，其主治证的区别为,D,有无发热,有无恶寒,有无咳嗽,有无口渴,
下列哪组药是“六一散”的组成,D,滑石、薄荷,滑石、藿香,藿香、佩兰,滑石、甘草,
四君子汤的组成中无,B,人参,干姜,白术,茯苓,
越鞠丸的功用是,A,行气解郁,疏肝理气,行气活血,行气消食,
足少阳胆经接交的经脉为,B,接肺经交大肠经,接三焦经交肝经,接胃经交脾经,接肝经交肺经,
髓海位于,C,项部,胸部,头,背部,
经络系统中没有表里关系的是,B,十二经脉,奇经八脉,十二经别,十二皮部,
督脉可调节全身阳经脉气，故称,B,阴脉之海,阳脉之海,血海,髓海,
十二经脉的循行走向正确的是,A,手之三阳从头走手,手之三阳从手走头,手之三阳从手走胸,足之三阳从足走头,
"以患者拇指的指间关节的宽度作为寸,这是",A,拇指同身寸,横指同身寸,中指同身寸,简便定位法,
"针刺部位出现皮下出血而引起的肿痛,早期局部应",B,热敷,冷敷,热疗,红外线治疗,
中医养生学目标,B,阴阳互根,五脏坚固,健康长寿,气血充沛,
《黄帝内经》在养生中主要体现的是,B,综合多种方法,治未病的预防为主的思想,食疗为主的思想,运动锻炼的思想,
中医认为五官内连五脏，其中肾开窍于,A,耳,目,鼻,口,
"淡味，中医将之归于（
）范围",C,酸味,苦味,甘味,辛味,
中药养生宜重,A,肺肾,肝胃,脾胃,心肝,
药食法乃情志调节的主要方法之一，其中养心安神类举要,A,龙眼粥,佛手酒,磁石粥,百合酿藕,
食物有五种性：寒、热、温、凉与平性。其中寒凉食物多有清热除烦的作用，适用于,C,炎热气候环境，阴寒体质,寒冷气候环境，阴寒体质,炎热气候环境，阳热体质,四季，各种体质,
保健灸法不用于,D,寒证、虚寒证,气血虚弱证,瘀血证,实热证、阴虚发热者,
内科护理学的基本特点主要包括,A,整体观念，辨证论治,整体观念，辨证施护,辨证护理，辨病护理,未病先防，既病防变,
