Question,answer,A,B,C,D,E,分类,题型,,,
小儿“脏腑娇嫩，形气未充”，其中“气”是指：,C,形体结构,血少气弱,生理功能,先天之气,后天之气,儿科学,单选,,,
麻疹早期的诊断依据是：,C,发热,畏光流泪,麻疹粘膜斑,淋巴结肿大,咳嗽,儿科学,单选,,,
肾病患儿面目皆肿，以下肢为甚，面白无华，畏寒肢冷，神疲蜷卧，纳少便溏，舌淡胖，苔白滑，脉沉细无力，证属：,B,脾虚湿困,脾肾阳虚,肝肾阴虚,气滞血瘀,肺脾气虚,儿科学,单选,,,
治疗小儿疳证“疳气”的首选方剂是：,C,枳术丸,肥儿丸,资生健脾丸,木香大安丸,以上都不是,儿科学,单选,,,
水痘的主要表现，下列哪项是错误的？,E,发热1—2天出疹,皮疹以躯干为多,疹色红润，疱浆清稀,丘疹、疱疹、结痂同时并见,愈后脱屑，留有瘢痕,儿科学,单选,,,
下列哪项是湿热泻之粪便改变？,B,泄泻清稀,大便内有粘液,大便中多泡沫,大便色淡,臭味不甚,儿科学,单选,,,
小儿感冒可出现的兼证是：,D,挟火、挟痰、挟湿,挟火、挟痰、挟食,挟风、挟痰、挟食,挟痰、挟惊、挟滞,挟湿、挟惊、挟食,儿科学,单选,,,
小儿哮喘的好发季节是：,A,冬春,夏秋,秋冬,春夏,春秋,儿科学,单选,,,
急惊风的“四证”是指：,B,风、火、积、热,风、痰、热、惊,痰、积、惊、热,惊、热、痰、火,痰、火、积、热,儿科学,单选,,,
注意力缺陷多动症的治疗原则是：,B,清热化痰,调和阴阳,滋肾平肝,补益心脾,补益心肾,儿科学,单选,,,
下列哪项属新生儿的正常舌象：,E,舌红无苔,舌红少津,舌质绛红,舌生红刺,舌质淡白,儿科学,单选,,,
患儿咳喘反复发作，面色咣白，形寒肢冷，脚软无力，大便澄清。其证候是：,B,肺气虚弱,脾虚气弱,肾虚不纳,肺脾气虚,阴虚肺热,儿科学,单选,,,
患儿，2岁。面色少华，不思纳食，精神正常，舌苔薄腻。其治法是：,A,健脾益气,和脾助运,消食和中,消补兼施,养胃育阴,儿科学,单选,,,
不易继发肺炎的是：,A,疳症,上感,哮喘,麻疹,以上均是,儿科学,单选,,,
治疗厌食的基本原则是：,A,调理脾胃,调肝理脾,清热通腑,消食导滞,健脾益肾,儿科学,单选,,,
下列不属急惊风成因的是：,E,感受风邪,温热疫邪,湿热疫邪,暴受惊恐,气滞血瘀,儿科学,单选,,,
病毒性心肌炎症见胸闷气短，心悸，头晕，胸痛叹息，时欲呕恶，咳嗽痰多，甚至咳喘不能平卧，舌微紫，苔白腻，脉滑或结代。其治疗方法为：,D,清热解毒,温振心阳,养心固本,化痰泄浊,活血化瘀,儿科学,单选,,,
大便呈果酱色，伴阵发性哭吵，常为：,C,痢疾,肠炎,肠套叠,食积,便秘,儿科学,单选,,,
治疗肺炎喘嗽风寒闭肺证，应首选的方剂是,B,三拗汤,华盖散,麻杏石甘汤,小青龙汤,金沸草散,儿科学,单选,,,
上述各项，属解颅临床特征,D,苦笑面容,前囟凹陷,三凹征,落日状,多汗夜惊，烦躁不安发稀枕天,儿科学,单选,,,
"治疗水痘邪炽气营证, 应首选的方剂是",C,柴葛解肌汤,宣毒发表汤,清胃解毒汤,清瘟败毒饮,五味消毒饮,儿科学,单选,,,
肺炎喘嗽症见恶寒发热，头身痛，无汗，鼻塞流清涕，呼吸气急，痰稀色白。其病机是,A,风寒闭肺,风热闭肺,毒热闭肺,肺脾气虚,痰热闭肺,儿科学,单选,,,
尿频脾肾气虚证的治法是,C,健脾益气，温肾固摄,益肺健脾，固涩膀胱,温补脾肾，升提固摄,滋阴补肾，固涩小便,健脾补肾，通利膀胱,儿科学,单选,,,
痱腮的病位主要是,B,太阳经脉,少阳经脉,阳明经脉,太阴经脉,少阴经脉,儿科学,单选,,,
男孩，8 岁。症见多动多语，冲动任性，难于制约，注意力不集中，胸中烦热，懊侬不眠，便秘尿赤，舌质红，苔黄腻，脉滑数。治疗应首选方剂是,E,龙胆泻肝汤,泻心导赤散,泻心汤,清心涤痰汤,黄连温胆汤,儿科学,单选,,,
水痘邪伤肺卫证的治法是,B,"宣肺解毒, 利湿清热","疏风清热, 利湿解毒","疏风解表, 清热宣肺","辛凉解表, 清热渗湿","清热渗湿, 解毒凉营",儿科学,单选,,,
佝偻病的病机主要是,A,脾肾虚亏,心肝血虚,肝肾阴虚,肝风阴虚,肺脾两虚,儿科学,单选,,,
腹痛常用辨证思路不包括,D,辨病位,辨寒热,辨虚实,辨年龄,分轻重,儿科学,单选,,,
"治疗手足口病湿热壅盛证,应首选的方剂是",E,透疹凉解汤,清胃解毒汤,宣毒发表汤,清解透表汤,清瘟败毒饮,儿科学,单选,,,
疳肿胀的病位是,A,脾肾,肝脾,心脾,脾肺,脾胃,儿科学,单选,,,
患儿，2岁。起病1天，发热，口颊、齿龈见多个溃疡点，周围掀红，口臭流涎，舌红，苔黄。应首选方剂是,E,导赤散,泻黄散,清胃散,凉膈散,银翘散,儿科学,单选,,,
丘疹、疱疹、结痂并见，疱疹内有水液色清的疾病是,B,脓疱疮,水痘,奶麻,丹痧,瘾疹,儿科学,单选,,,
患儿，5 岁。突然壮热，神志昏迷，烦躁谵妄，反复抽搐，惊厥不已，呕吐腹痛，大便夹脓血，舌质红，苔黄腻，脉象滑数。治疗应首选的方剂是,C,羚角钩藤汤,普济消毒饮,黄连解毒汤合白头翁汤,白虎汤合玉枢丹,清瘟败毒饮,儿科学,单选,,,
下列各项，不属小儿的生理特点的是,C,行气未充,生机蓬勃,易趋康复,脏腑娇嫩,发育迅速,儿科学,单选,,,
小儿生长发育最快的时期是,B,新生儿期,婴儿期,幼儿期,学龄前期,学龄期,儿科学,单选,,,
小儿风热感冒与风寒感冒的鉴别要点是,C,恶风发热,恶寒发热,咽红肿痛,咳嗽不爽,咳嗽频作,儿科学,单选,,,
患儿，3 岁半。面色潮红，身热消瘦，手足心热，肢体拘挛或强直，时或抽搐，大便干结，舌光无苔，质绛少津，脉象细数。治疗应首选的方剂是,A,大定风珠,地黄饮子,大补阴丸,理中汤,四逆汤,儿科学,单选,,,
疳肿胀的主要病机是,C,脾病及肝，肝血不足,脾病及心，心火上炎,脾病及肾，阳气虚衰,脾病及肝，肝阳上亢,脾病及肾，阴虚火旺,儿科学,单选,,,
对于感冒的诊断标准描述错误的是,A,肺部听诊可闻及中、细湿啰音,感冒伴兼夹证者，可见睡卧不宁，惊惕抽搐,感冒伴兼夹证者，可见咳嗽加剧，喉间痰鸣,发热、恶风寒、鼻塞流涕、喷嚏、咳嗽等为主症,感冒伴兼夹证者，可见脘腹胀满，不思饮食，呕吐酸腐，大便失调,儿科学,单选,,,
胎儿期易发生先天畸形的是,B,妊娠早期4周,妊娠早期12周,妊娠中期10周,妊娠中期15周,妊娠晚期13周,儿科学,单选,,,
水痘的好发年龄是,D,6月~1岁,1~3岁,3~6岁,6~9岁,9岁以上,儿科学,单选,,,
患儿，6 岁半。经常夜间遗尿，白天尿频量多，平素易感，面色少华，食欲不振，大便溏薄，舌淡苔白，脉沉无力。治疗应首选的方剂是,D,菟丝子散,导赤散,缩泉丸合玉屏风散,补中益气汤合缩泉丸,桑螵蛸散,儿科学,单选,,,
患儿，4 岁。反复外感，面白颧红少华食少纳呆，口渴，盗汗自汗，手足心热，大便干结，舌质红，苔花剥，脉细数。其证候是,D,肺脾气虚,营卫失调,脾肾两虚,肺脾阴虚,气阴两虚,儿科学,单选,,,
口疳的病位是,A,心脾,肝脾,脾胃,脾肾,心肝,儿科学,单选,,,
"患儿,1岁3个月,突发高热4天,神智正常, 现热已退, 肌肤出现玫瑰色丘疹, 皮疹始发于躯干, 很快延及全身, 肤无痒感。舌质偏红，苔薄少津,指纹淡紫。其治法是",E,"辛凉透表, 清宣肺卫","清凉解毒, 透疹达邪","疏风解表, 清热解毒","疏风清热, 利湿解毒","清热生津, 以助康复",儿科学,单选,,,
时疫感冒证的治法是,E,辛温解表,辛凉解表,清暑解表,消食导滞,清瘟解表消毒,儿科学,单选,,,
患儿，3岁。舌苔厚腻垢浊不化，便秘，腹胀。其病机是,B,寒湿内停,宿食内积,湿热内蕴,脾虚失运,心脾积热,儿科学,单选,,,
治疗哮喘痰热阻肺证应首选的方剂是,C,大青龙汤,麻杏石甘汤,麻杏石甘汤合苏葶丸,黄连解毒汤合麻杏石甘汤,麻杏石甘汤合葶苈大枣泻肺汤,儿科学,单选,,,
传染性单核细胞增多症痰热流注证的治法是,D,辛凉解表，清暑化湿,清气凉营，解毒化痰,清气凉营，泻火涤痰,清热化痰，通络散瘀,清热解毒，泻火涤痰,儿科学,单选,,,
"患儿,6岁。发热轻微,鼻塞流涕,喷嚏, 咳嗽, 起病后 1~2 天出皮疹, 疹色红润, 疱浆清亮, 根盘红晕, 皮疹瘙痒, 分布稀疏, 此起彼伏, 以躯干为多, 舌苔薄白, 脉浮数。其病机是",A,邪伤肺卫,邪伤肺胃,邪炽气营,邪炽心肝,邪伤肺肾,儿科学,单选,,,
婴儿后半年平均每月增长的体重是,C,0.3kg,0.4kg,0.5kg,0.7kg,1kg,儿科学,单选,,,
肺炎喘嗽的病机关键是,C,肺卫失宣,肺失宣肃,肺气郁闭,痰饮内伏,痰阻气道,儿科学,单选,,,
反复呼吸道感染脾肾两虚证的治法是,B,养阴润肺，益气健脾,温补肾阳，健脾益气,调和营卫，益气固表,补肺固表，健脾益气,温补脾肾，固摄纳气,儿科学,单选,,,
下列属于病理性黄疸的是,A,生后 24h 以内出现黄疸,生后第 2~3 日出现黄疸，第4~6日达高峰,足月儿在生后2周消退，早产儿可延迟至3~4 周消退,足月儿血清总胆红素≤221umol/L，早产儿≤257umol/L,小儿一般情况良好，除偶有轻微食欲不振外，不伴有其他临床症状,儿科学,单选,,,
麻疹好发的年龄是,C,1个月,1~5个月,6个月~5岁,6~7岁,10~12岁,儿科学,单选,,,
乳牙正常开始萌出的时间是,D,2～4个月,4～5个月,5～6个月,4～10个月,12～18个月,儿科学,单选,,,
腹痛腹部中寒证的主方为,C,香砂平胃散,大承气汤,养脏汤,小建中汤,少腹逐瘀汤,儿科学,单选,,,
患儿，5岁。平素易感冒。最近咳嗽反复不愈，痰白清稀，面白无华，气短懒言，语声低微，自汗盗汗，舌淡嫩，边有齿痕，脉细无力。其证候是,D,风寒咳嗽,风热咳嗽,风燥咳嗽,气虚咳嗽,痰湿咳嗽,儿科学,单选,,,
小儿诊法既主张四诊合参，又特别重视的诊法是,E,按诊,脉诊,问诊,闻诊,望诊,儿科学,单选,,,
治疗水肿气阴两虚证，应首选方剂的是,E,知柏地黄丸,防己黄芪汤合五苓散,真武汤合黄芪桂枝五物汤,实脾饮,六味地黄丸加黄芪,儿科学,单选,,,
预防脐风最重要的措施是,D,孕妇勿感风邪,产妇勿感风邪,小儿生后避风,清洁断脐护脐,脐疮防其走黄,儿科学,单选,,,
