Question,answer,A,B,C,D,E,
伏邪温病不包括项是：,D,感邪后邪气伏藏,邪气郁伏过时而发,病发于里，初起见里热证,初起以表热证为主,可由新感引发,
易损伤肺胃阴津，致口鼻唇咽干燥，干咳不已，或痰少而粘，口渴，舌红少苔等症，又易逆传内陷的温邪是：,A,风热病邪,暑热病邪,湿热病邪,燥热病邪,风热时毒,
具有易困阻脾胃，弥漫三焦，易伤络动血，耗损元气致病特点的温邪是：,B,暑热病邪,暑湿病邪,湿热病邪,疫疠病邪,温毒病邪,
温邪犯肺之初的临床表现应除外：,E,发热,舌边尖红,咳嗽,头痛，口微渴,脉缓,
热陷心包的临床表现应除外：,A,心悸,神昏,肢厥,舌绛,舌謇,
斑的外发，多先起于：,A,胸腹,四肢,头部,面部,腰背,
温病后期出现大便秘结，咽干口燥，舌红而干者，应选的治法是：,E,增液通下,益气养阴,养阴润肺,滋养肺胃,增液润肠,
风温病恢复期证候多表现为：,D,肺热移肠,肺热发疹,腑实阴伤,肺胃阴伤,热陷心包,
《温病条辨》的作者是：,E,陈平伯,孙思邈,王叔和,叶天士,吴鞠通,
治疗秋燥燥干清窍，避免使用：,B,轻清之品,苦重之品,甘寒之品,甘酸之晶,辛凉之品,
阳明腑实证的舌象是：,A,苔老黄燥裂,苔薄黄干燥,苔黄厚而腻,苔黄白相兼,苔白厚而燥,
气营（血）两燔证的临床表现应除外,A,发热恶寒,烦躁口渴,头痛发斑,吐血衄血,舌绛脉数,
《温病条辨》的作者是,B,吴又可,吴鞠通,叶天士,薛生白,王孟英,
《温病条辨》一书创立并完善了哪种辨证纲领：,C,六经辨证,卫气营血辨证,三焦辨证,脏腑辨证,经络辨证,
温病是多种外感热病的总称，《温病条辨》上焦篇首条列举了多少种常见温病：,C,5,7,9,11,12,
吴鞠通认为太阴风温初起但热不恶寒而渴者，以什么方治疗：,B,辛凉轻剂桑菊饮,辛凉平剂银翘散,辛凉重剂白虎汤,桂枝汤,达原饮,
太阴风温，但咳，身不甚热，微渴者，哪首方主之：,A,辛凉轻剂桑菊饮,辛凉平剂银翘散,辛凉重剂白虎汤,桂枝汤,达原饮,
辛凉轻剂是指：,A,桑菊饮,银翘散,白虎汤,桔梗汤,桑杏汤,
辛凉平剂是指：,B,桑菊饮,银翘散,桑杏汤,桔梗汤,白虎汤,
辛凉重剂是指：,E,桑菊饮,银翘散,桑杏汤,桔梗汤,白虎汤,
吴鞠通认为银翘散证出现项肿咽痛者，可加用：,E,射干、马勃,射干、栀子,生地、玄参,大青叶、玄参,马勃、玄参,
