Question,answer,A,B,C,D,E
疟疾的临床特征是(    )。,C,头痛汗出,寒战高热,休作有时,口淡不渴,多发于夏秋季
疟疾临床表现的重要特征是(    )。,C,季节性,传染性,周期性,流行性,间歇性
下列(    )不是咳嗽的治则。,D,祛邪,利肺,扶正,化瘀,
下列(    )不属于外感咳嗽的证型。,D,风寒袭肺,风热犯肺,风燥伤肺,暑湿阻肺,
首将咳嗽分为外感内伤论治的著作是(    )。,A,《景岳全书》,《外台秘要》,《和剂局方》,《伤寒杂病论》,
外感咳嗽的病因是(    )。,A,外感六淫之邪,外感疫疬之邪,感触异物,外感毒邪,
下列(    )不是内伤咳嗽的病因。,A,情志,劳倦,饮食,肺脏自病,
咳声重浊、喉痒、恶寒发热、无汗脉紧者，宜用(    )。,B,桑菊饮,三拗汤合止嗽散,桑杏汤,清金化痰汤,
咳痰不爽，色黄而粘，咽痛，恶寒身热，口渴，脉浮数者，宜用(    )。,A,桑菊饮,清金化痰汤,泻白散,银翘散,
喉痒干咳，无痰或少痰，唇鼻干燥，微寒，脉浮，治宜(    )。,C,疏风清热，宣肺止咳,滋阴清热，润肺止咳,疏风清肺，润燥止咳,,
患者晨咳甚，痰多成块，胸闷，痰出则减，伴痞满，苔白腻，方用(    )。,B,苏子降气汤,二陈汤合三子养亲汤,清金化痰汤,葶苈大枣泻肺汤,
患者咳嗽气急，痰多而黄粘，面赤口干，苔薄黄腻，脉滑数，方用(    )。,C,沙参麦冬汤,黛蛤散合黄芩泻白散,清金化痰汤,桑菊饮,
哮病发作时的病理环节是(    )。,A,痰阻气闭,痰饮上犯,饮邪泛滥,肺气上逆,
哮病发作时的主要临床表现是(    )。,B,喘促气短,痰鸣气喘,呼吸困难,喘咳痰多,
哮病间歇期涉及的脏腑是(    )。,B,心脾肾虚,肺脾肾虚,肝脾肾虚,心脾肺虚,
首创“哮喘”病名的是(    )。,A,朱丹溪,罗天益,张景岳,叶天士,
对哮与喘作了明确区别的著作是(    )。,C,《医学正传》,《诸病源候论》,《丹溪心法》,《证治准绳》,
哮病主要治疗原则是(    )。,D,补虚泻实,标本同治,扶正祛邪,发时治标，平时治本,
哮病的“夙根”是(    )。,C,水停,气滞,宿痰,湿浊,
寒哮发作期首选(    )。,A,射干麻黄汤,定喘汤,小青龙汤,三拗汤合三子养亲汤,
气粗息涌，喉中痰鸣如吼，咯痰色黄，苔黄腻。治宜(    )。,B,温肺散寒，化痰平喘,清热宣肺，化痰定喘,健脾清热，化痰定喘,清热泻火，宣肺定喘,
哮喘甚剧，恶寒背冷，痰白呈泡沫，苔白水滑，脉紧而无虚象者，属(    )。,A,，寒实证,寒湿证,表寒证,里寒证,
哮病病久阳虚，发作频繁，喉中痰鸣如鼾，声低气短，痰稀肢冷，当标本同治，宜(    )。,B,苏子降气汤,紫金丹,三子养亲汤,六君子汤,
发作期热哮方用(    )。,A,定喘汤,紫金丹,苏子降气汤,麻杏石甘汤,
哮病发作时，寒热不著，但哮鸣喘咳甚剧，痰多难出，苔厚脉滑，宜用(    )。,B,半夏厚朴汤,三子养亲汤加减,加味平胃散,苏子降气汤,
