Question,A,B,C,D,E,answer,,,
　下列哪项属于辨病论治：（    ）,透疹,补肾,安胎,去翳,截疟,D,,诊断学,单选
—个规范的证名通常不包括,病因,病性,病候,病位,病势,C,,诊断学,单选
“八纲”中相互对立的两纲并现，称,证候相兼,证候转化,证候错杂,证候真假,证候并见,C,,诊断学,单选
“大实有羸状”“至虚有盛候”是说明下述哪项,虚实转化,寒热转化,虚实真假,寒热真假,表里进退,C,,诊断学,单选
“哕”是指,嗳气,呕吐,太息,呃逆,,D,,诊断学,单选
“疾病”没有包括的内容是,在一定病因作用下,机体邪正相争,阴阳失调,表现若干特定症状,某一阶段的本质,E,,诊断学,单选
“金破不鸣”的病机是,痰浊闭肺,肺肾阴虚,风寒束肺,风热犯肺,,B,,诊断学,单选
“镜面舌”的主病是：(    ),胃阴耗竭,胃气大伤,胃之气阴大伤,脾胃气虚,肾阴枯竭,C,,诊断学,单选
“湿淫证”最常见的突出表现是,恶寒微有发热,皮肤渗液瘙痒,肢体困重酸痛,脘腹痞胀不舒,苔白润，脉滑,C,,诊断学,单选
“实”证的含义主要是指,体质壮实,正气旺盛,阳邪中人,阴寒内盛,邪气盛实,E,,诊断学,单选
“体征”是指下列选项,微恶风寒,舌红苔黄,脾气亏虚,耳中暴鸣,口苦而干,B,,诊断学,单选
“望色十法”中“抟”是指：(    ),面色沉隐,面色浊暗,面色壅滞,面色浅淡,面色枯槁,C,,诊断学,单选
“卫气营血”辨证是哪位医家创立的,吴鞠通,叶天士,陈平伯,薛生白,吴又可,B,,诊断学,单选
“胃家实”中的“胃家”，其病位是指：（    ）,胃,脾与胃,胃与大肠,大肠,脾胃与大肠,A,,诊断学,单选
“五辨”不包含的项目是,辨症,辨证,辨病,辨人,辨因,E,,诊断学,单选
“心阳虚脱证”没有包含的要素是,病因,病性,病候,病位,病势,C,,诊断学,单选
“有根”之脉象是指,不浮不沉,节律一致,不快不慢,和缓有力,沉取尺部应指有力,E,,诊断学,单选
